"taskId","smiles","Property","Value","Tool"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.ER",0.161128714680672,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.ER.LBD",0.0202510561794043,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.PPAR.gamma",0.000227146869292483,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.ARE",0.554382741451263,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.ATAD5",0.681376934051514,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.HSE",0.154092326760292,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.MMP",0.349588960409164,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.p53",0.3852818608284,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Aggregators",0.759,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Fluc",0.778,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Blue_fluorescence",0.795,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Green_fluorescence",0.964,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Reactive",0.007,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Other_assay_interference",0.051,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Promiscuous",0.806,"ADMETlab"
